setid,"Normal melting temperature, K",reference,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jyNzI,495.15,Ozdemir and Ozgun (2017),Crystal,ABUcPZ,Cc1cc(C)[n+](-c2ccc([N+](=O)[O-])cc2)n1C.F[P-](F)(F)(F)(F)F,"2,3,5-trimethyl-1-(4-nitrophenyl)-pyrazolium hexafluorophosphate",,,,,,
mFCXk,321,Domanska and Zawadzki (2011),Crystal,ABlkcz,CCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-butylisoquinolinium bis[(trifluoromethyl)sulfonyl]amide,,,,,,
VrLQj,280,Fillion et al. (2016),Crystal,ABIiGk,CCCC[P+](CCCC)(CCCC)COC.c1c[n-]nn1,"tributyl(methoxymethyl)phosphonium 1,2,3-triazolide",,,,,,
PTjcM,322.65,Coker et al. (1970),Crystal 1,ABQePZ,CCCCC[N+](CCCCC)(CCCCC)CCCCC.N#C[S-],tetrapentylammonium thiocyanate,,,,,,
vtyFS,354.05,Funasako et al. (2012),Crystal,ABuJUW,CCCCCC[c-]1c(C)c(C)c(C)c1C.Cc1[cH-]c(C)c(C)c1C.N#C[C](C#N)[C-](C#N)C#N.[Fe+3],"1-hexyl-1',2,2',3,3',4,4',5-octamethylferrocenium tetracyanoethylenide",,,,,,
rlSpU,345.1,Brunig et al. (2016),Crystal,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,,,
qxirk,263.8,Greeson et al. (2018),Crystal,ABlanN,CCCCCCCCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Br,3-decyl-1-methylimidazolium bromotrichloroferrate(III),,,,,,
YROuP,271.1,Rauber et al. (2016),Crystal,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
uKtuq,293.1,MacFarlane et al. (2001),Crystal,ABdgaT,CCCC[N+](C)(C)CCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethyl-N-propyl-1-butanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,,,,
lXEIc,335.1,El Bourakadi et al. (2019),Crystal,ABtMrb,CCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F,1-decyl-3-methyl-2-(thiazol-4-yl)benzimidazolium trifluoromethanesulfonate,,,,,,
SBsxJ,304.32,Domanska et al. (2011c),Crystal 1,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,,,,
sCwMO,350.1,Sashina et al. (2013),Crystal,AApFXa,CCCCCC[n+]1cccc(C)c1.[Cl-],1-hexyl-3-methylpyridinium chloride,,,,,,
LgXHF,390,Fernandez-Martin et al. (1984),Crystal 1,ABkWDV,C(CCCCCCCCCCCCCCC)(=O)[O-].[Tl+],thallium(1+) palmitate,,,,,,
GboCx,365,Fillion et al. (2016),Crystal,ABBRLn,Cc1n(C)cc[n+]1C1CCCC1.O=[N+]([O-])c1cn[n-]c1,"1-cyclopentyl-2,3-dimethylimidazolium 4-nitropyrazolide",,,,,,
MYeOS,439.65,Ozdemir and Ozgun (2017),Crystal,ABJSsS,Cc1cc(C)[n+](-c2ccc([N+](=O)[O-])cc2)n1C.F[B-](F)(F)F,"2,3,5-trimethyl-1-(4-nitrophenyl)-pyrazolium tetrafluoroborate",,,,,,
Jsicg,274.1,Abdurrokhman et al. (2019),Crystal,ABqGRY,CCCCCCCCCC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-decyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,,,,,,
TGCjI,269,Gomez et al. (2013),Crystal,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
qqzlk,285.1,Greaves et al. (2006),Crystal 1,AAZfTw,CCCCC[NH3+].O=C[O-],pentylammonium formate,,,,,,
LqUiw,252.25,Langham et al. (2016),Crystal,ACOBoS,CCCCCCCC/C=C\CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-oleyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,,,,,,
FGZhJ,286.1,Nishida et al. (2003),Crystal,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,
vKKrp,284.3,Xue et al. (2016),Crystal,ABkmlz,CC(C)CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(5-methylhexyl)-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
bqXfQ,289,Garcia-Andreu et al. (2016),Crystal 1,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,,,,,,
qjRlP,349.1,Kabachnik et al. (1989),Crystal,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,,,
NufnI,351.15,Coker et al. (1970),Crystal,ABnixP,CCCCCCCC[N+](CCC)(CCCCCCCC)CCCCCCCC.[Br-],trioctylpropylammonium bromide,,,,,,
Cjzmq,375,Ishida et al. (1992),Crystal 1,AAZcdl,C[NH2+]C.F[B-](F)(F)F,dimethylammonium tetrafluoroborate,,,,,,
tVpjZ,439.95,Takaizumi and Wakabayashi (1980b),Crystal,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,,,,,,
cNwuo,276.4,Brauer et al. (2015),Crystal,ABAwOR,CCC[n+]1cn(C)cn1.O=S(=O)([O-])C(F)(F)F,"4-methyl-1-propyl-1,2,4-triazolium trifluoromethanesulfonate",,,,,,
pAYGN,323.1,Sedov et al. (2019),Crystal,AAXsWN,O=[N+]([O-])[O-].[NH3+]CCO,ethanolammonium nitrate,,,,,,
uphov,309,Marcinkowski et al. (2014b),Crystal,ABnqKV,CCCCCC[N+]12CCN(CC1)CC2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-1,4-diazabicyclo[2.2.2]octan-1-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
rQfCE,279.6,Keil and Konig (2011),Crystal,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,,,,
VynMY,284.1,Sakizadeh et al. (2007),Crystal 1,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,,,
rfmgG,281,Fletcher et al. (2010),Crystal,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,,,,
kenOr,293.1,Sun et al. (1998),Crystal,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,,,,
XPqoc,263.1,Aranowski et al. (2016),Crystal,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,,,
hNpCz,285.6,Gusain et al. (2017),Crystal,ACiqCP,O1c2ccccc2C(=O)O[B-]13Oc2ccccc2C(=O)O3.CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCC,trioctylhexylammonium bis(salicylato)borate,,,,,,
zDyTQ,378.15,De Gaetano et al. (2015),Crystal,ABgIHK,CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C.CS(=O)(=O)[O-],"2-(hexadecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium methanesulfonate",,,,,,
qaJFk,373.9,Kollau et al. (2018),Crystal,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,,,,
MnnNM,424,Stolarska et al. (2016),Crystal,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,,,,,,
unkWt,331.6,Aljuhani et al. (2019),Crystal,ABTfpt,Cc1cc[n+](CC(=O)Nc2ccc(C)c(F)c2)cc1.O=C([O-])C(F)(F)F,1-(2-((3-fluoro-4-methylphenyl)amino)-2-oxoethyl)-4-methylpyridin-1-ium trifluoroacetate,,,,,,
NiCPn,283,Fareghi-Alamdari and Hatefipour (2015),Crystal,ABKaWV,Cn1cc[n+](CC(CBr)N=[N+]=[N-])c1.[Br-],1-(2-azido-3-bromopropyl)-3-methyl-3H-imidazol-1-ium bromide,,,,,,
UZdGh,260.1,Curnow et al. (2018),Crystal,ADilIs,[N-](C#N)C#N.c(N(CCCCCCCCCC)CCCCCCCCCC)1c(N(CCCCCCCCCC)CCCCCCCCCC)[c+]1N(CCCCCCCCCC)CCCCCCCCCC,tris(didecylamino)cyclopropenium dicyanamide,,,,,,
ivCkY,303.1,Zhou et al. (2005),Crystal,ABGiiA,COCC[N+](C)(C)C.F[B-](F)(F)C(F)(F)C(F)(F)F,"2-methoxy-N,N,N-trimethylethan-1-aminium trifluoro(perfluoroethyl)borate",,,,,,
RFSHs,358.48,Kimaru et al. (2017),Crystal,ACSUWm,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[NH3+][C@@H](Cc1ccccc1)C(=O)OCc1ccccc1,L-phenylalanine benzyl ester bis(perfluoroethylsulfonyl)imide,,,,,,
aZPRV,290.03,Zawadzki et al. (2020),Crystal,ABBIqQ,CCCCCC[N+](CC)(CC)CC.N#C[C-](C#N)C#N,"N,N,N-triethylhexan-1-aminium tricyanomethanide",,,,,,
hyOTa,320.1,Thoppil et al. (2020),Crystal,ABJDRO,CC(C)(C)[NH2+]CCO.CCCCCCCCCCCC(=O)[O-],N-(tert-butyl)ethanolammonium laurate,,,,,,
blSRE,338.8,Nakamoto and Watanabe (2007),Crystal,ABQGeY,CC[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,dimethylethylammonium bis(trifluoromethylsulfonyl)imide,,,,,,
oVNiQ,394.1,Xue et al. (2004),Crystal,AAcOQP,NN1C=[NH+]C=N1.O=[N+]([O-])[O-],"1-amino-1H-1,2,4-triazol-1-ium nitrate",,,,,,
VbdYw,335.4,Ferdeghini et al. (2021),Crystal,ADBWaP,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC[N+]1(CCOCC1)C)[N+]1(CCOCC1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"4,4'-(butane-1,4-diyl)bis(4-methylmorpholin-4-ium) bis((trifluoromethyl)sulfonyl)amide",,,,,,
PYfjb,353.2,Pereiro et al. (2011),Crystal,AAuaPl,CCCCCCCC[n+]1cccc(C)c1.[Cl-],1-octyl-3-methylpyridinium chloride,,,,,,
httyd,336.1,De Gaetano et al. (2015),Crystal,ABaeNq,CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C.N#C[N-]C#N,"2-(hexadecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium dicyanamide",,,,,,
oTTVv,348,Halayqa et al. (2018),Crystal,ABOMJk,C[N+](C)(C)CCO.Cc1cccc(Nc2ccccc2C(=O)[O-])c1C,"2-hydroxy-N,N,N-trimethylethan-1-aminium 2-((2,3-dimethylphenyl)amino)benzoate",,,,,,
QUrbA,319.1,Katsuta et al. (2010),Crystal,ABgQNb,CCC[N+](C)(CCC)CCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,methyltripropylammonium bis[(trifluoromethyl)sulfonyl]amide,,,,,,
qoeeo,288,Noda et al. (2001),Crystal,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,
bReWz,326.8,Kawai et al. (2019),Crystal,ABvRth,CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N-adamantyl-N,N-dimethyl-N-butylammonium bis(trifluoromethylsulfonyl)imide",,,,,,
AGWyQ,378.15,Wang et al. (2014b),Crystal,AAsYfo,CS(=O)(=O)[O-].c1ccc2sc[nH+]c2c1,benzothiazolium methanesulfonate,,,,,,
HkIDs,368,Kubota et al. (2010b),Crystal,AAzDXE,O=S(=O)(F)[N-]S(=O)(=O)F.[Rb+],rubidium bis(fluorosulfonyl)amide,,,,,,
QcgPv,345.1,Van Oort and White (1989),Crystal,AAzfdr,O=[N+]([O-])[O-].[NH3+]CCCCCCCCc1ccccc1,8-phenyloctylammonium nitrate,,,,,,
DOXGg,322.93,Domanska and Morawski (2007),Crystal,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,,,,,,
XmALD,377.4,Kawai et al. (2019),Crystal,ABmQfh,CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,"N-adamantyl-N,N-dimethyl-N-decylammonium trifluoromethanesulfonate",,,,,,
jLVIo,251.2,Brown et al. (2012),Crystal,ACUUZu,CCCCCCOC(=O)CC(C(=O)OCCCCCC)C(C(=O)OCCCCCC)S(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,"1-butyl-3-methylimidazolium 1,5-bis(hexyloxy)-3-((hexyloxy)carbonyl)-1,5-dioxopentane-2-sulfonate",,,,,,
kSHOY,311.9,Zajac et al. (2019),Crystal,ABoKAL,C=Cc1ccc(Cn2cc[n+](C)c2)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-(4'-vinylbenzyl)imidazolium bis(trifluoromethanesulfonyl)amide,,,,,,
uujwz,313.1,Pan et al. (2020),Crystal,AAjMwZ,CC[NH+](C)CC.CS(=O)(=O)[O-],diethylmethylammonium methanesulfonate,,,,,,
CUfzy,298,Gomez et al. (2013),Crystal,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,,,,
bIyTq,435.96,Yang et al. (2020b),Crystal,ACqiuN,C[N+](C)(C)CCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,4-methyl-4-(3-(trimethylammonio)propyl)morpholin-4-ium bis((trifluoromethyl)sulfonyl)amide,,,,,,
vIFzb,302.1,Hazrati et al. (2017),Crystal,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,,,,
cKxFB,370.1,Galvez-Ruiz et al. (2005),Crystal,AAmdRF,Nc1[nH]nn[n+]1N.[O-]Cl(=O)(=O)=O,"1,5-diamino-4H-1,2,3,4-tetrazolium perchlorate",,,,,,
dLjOW,334.1,Sifaoui et al. (2007),Crystal,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,,,,,,
zBnXQ,356.1,Ngo et al. (2000),Crystal,ABuISo,CC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,tetraethyammonium bis[(pentafluoroethyl)sulfonyl]imide,,,,,,
pMLMC,346.1,El Bourakadi et al. (2019),Crystal,ABXFSB,CCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-],3-methyl-1-octyl-2-(thiazol-4-yl)benzimidazolium nitrate,,,,,,
GeEER,329.12,Vranes et al. (2017b),Crystal,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,,,,,,
kDvPa,243.6,Rocha et al. (2016a),Crystal,ACnvjZ,CCCCCCCC/C=C\CCCCCCCC(=O)[O-].CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,tetraoctylammonium oleate,,,,,,
hAKpo,363.1,Pereira et al. (2019),Crystal,ABVIhe,CCCC[N+](CCCC)(CCCC)CCCC(=O)OCC.[Br-],"N,N,N-tri(n-butyl)(4-ethoxy-4-oxobutyl)-1-aminium bromide",,,,,,
nEpFS,359.1,Kondratenko et al. (2021),Crystal,ABINuA,CC(O)C[NH+](CC(C)O)CC(C)O.O=C([O-])c1ccccc1,tris(2-hydroxypropyl)ammonium benzoate,,,,,,
pwFoH,272.9,Domanska et al. (2016d),Crystal,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,,,
Qnqhg,276.1,MacFarlane et al. (2001),Crystal,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,,,
zHWtD,303.6,Liu et al. (2010b),Crystal 1,ABWiWC,CC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
ghoDv,371.15,Coker et al. (1970),Crystal 1,ABrQFZ,CCCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[I-],"1-heptanaminium, N,N,N-trihexyl- iodide",,,,,,
JIlmt,372.8,Khan et al. (2017a),Crystal,ABAIrx,N#CCCn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F,1-(2-cyanoethyl)imidazolium trifluoromethanesulfonate,,,,,,
aAcwg,370.1,Xue et al. (2005),Crystal,AApJoy,O=[N+]([O-])[O-].[N-]=[N+]=Nc1nc(N=[N+]=[N-])[nH+][nH]1,"3,5-diazido-1,2,4-triazolium nitrate",,,,,,
KOjOu,283.1,Zhou et al. (2005),Crystal,ABFGYS,CC[N+](CC)(CC)CCOC.F[B-](F)(F)C(F)(F)F,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(trifluoromethyl)borate",,,,,,
yEcku,377.65,Pernak et al. (2012),Crystal,ABorxt,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=S(=O)([O-])NC1CCCCC1,1-hexadecylpyridinium N-cyclohexylsulfamate,,,,,,
HAVcx,383.3,Zhang et al. (2018i),Crystal,ABVFmC,Cc1n(C)cc[n+]1CC[n+]1ccn(C)c1C.[Br-].[Br-],"1,2-bis(2,3-dimethylimidazolium-1-yl)ethane dibromide",,,,,,
KPDjS,334.1,El Bourakadi et al. (2019),Crystal,ABygIT,CCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F,1-dodecyl-3-methyl-2-(thiazol-4-yl)benzimidazolium trifluoromethanesulfonate,,,,,,
npvVh,289.1,MacFarlane et al. (2001),Crystal 1,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,,,,
hGket,299.1,Greaves et al. (2006),Crystal,AAWvVd,CC(C)C[NH3+].O=C[O-],2-methylpropylammonium formate,,,,,,
MIMoh,453.94,Zawadzki et al. (2016),Crystal 1,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,,,,
OUrSw,262.6,Rodrigues et al. (2016),Crystal,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
WzCsr,306.05,Deng et al. (2023),Crystal,ABqGGh,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)OC(CN1C=[N+](C=C1)C=C)=O,1-(2-butoxy-2-oxoethyl)-3-vinylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,,,,
IOvTT,340.1,Wilkes et al. (1982),Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
XLlYy,305.65,Pernak et al. (2012),Crystal,ABjqYG,CCCCCCCCCCCCOC[n+]1ccccc1.O=S(=O)([O-])NC1CCCCC1,1-((dodecyloxy)methyl)pyridinium N-cyclohexylsulfamate,,,,,,
ulkrk,459.1,Zhou et al. (2005),Crystal,AApmYA,CCC[N+](C)(CC)CC.F[B-](F)(F)F,"N,N-diethyl-N-methylpropan-1-aminium tetrafluoroborate",,,,,,
Jnzmw,342.1,El Bourakadi et al. (2019),Crystal,ABcZWI,CCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-],1-decyl-3-methyl-2-(thiazol-4-yl)benzimidazolium nitrate,,,,,,
beTQA,296.1,Fadeeva et al. (2020),Crystal,ABAmzS,CCCCn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F,N-butylimidazolium trifluoromethanesulfonate,,,,,,
CsMNA,238.2,Pernak et al. (2012),Crystal,ABThZM,CCCCCCOC[n+]1ccccc1.O=S(=O)([O-])NC1CCCCC1,1-((hexyloxy)methyl)pyridinium N-cyclohexylsulfamate,,,,,,
YTKpI,289,Gomez et al. (2020),Crystal,ABZTch,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,,,
zwcSY,452.69,Pobudkowska et al. (2015),Crystal,ABJATI,C[C@H]([NH3+])[C@H](O)c1cccc(O)c1.O=C(O)[C@H](O)[C@@H](O)C(=O)[O-],"(alphaR)-alpha-[(1S)-1-aminoethyl]-3-hydroxy-benzenemethanol (2R,3R)-2,3-dihydroxybutanedioate",,,,,,
LTebf,283.6,Wang et al. (2007e),Crystal,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,,,,
AimdS,381.1,Xue et al. (2004),Crystal,AAmJrp,Cn1cn[n+](N)c1.[O-]Cl(=O)(=O)=O,"1-amino-4-methyl-4H-1,2,4-triazol-1-ium perchlorate",,,,,,
GcsMr,382.9,Pereiro et al. (2011),Crystal,AAjkra,CCCC[n+]1cccc(C)c1.[Cl-],1-butyl-3-methylpyridinium chloride,,,,,,
IJrTm,282.1,Annat et al. (2012),Crystal,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
NFbBl,353.94,Kimaru et al. (2017),Crystal,ABzIKw,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[NH3+][C@@H](Cc1ccccc1)C(=O)OCc1ccccc1,L-phenylalanine benzyl ester bis(trifluoromethylsulfonyl)amide,,,,,,
isIWj,283,Canongia Lopes et al. (2016),Crystal,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,,,,
dfyAQ,287.9,Rodrigues et al. (2016),Crystal,ABfwRJ,CC(C)C[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-isobutyl-1-methylpiperidinium bis((trifluoromethyl)sulfonyl)imide,,,,,,
ktaxl,267.1,Tokuda et al. (2006b),Crystal,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
daMni,342.1,Sashina et al. (2013),Crystal,AAuaPl,CCCCCCCC[n+]1cccc(C)c1.[Cl-],1-octyl-3-methylpyridinium chloride,,,,,,
sqrYE,293,Faria et al. (2018),Crystal,AAtWMw,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-butyl-3-methylimidazolium hydrogen sulfate,,,,,,
HSlqK,313.1,Lethesh et al. (2014),Crystal,AAuBEs,CC[N+]1=C2CCCCCN2CCC1.N#C[S-],"1-ethyl-2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepinium thiocyanate",,,,,,
KVAWf,383.6,Nakayama et al. (1989),Crystal,ABRRch,CCCCC[N+](CCCCC)(CCCCC)CCCCC.O=[N+]([O-])[O-],tetrapentylammonium nitrate,,,,,,
Qmnvn,282.1,Greaves et al. (2006),Crystal 1,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,,,,
xcFXX,508.2,Ding and Xu (2018),Crystal 1,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,,,,
jEzMu,355.6,Shmukler et al. (2018),Crystal,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,,,
LPsIx,346.1,Serbanovic et al. (2010),Crystal,ABYgJT,O=S(=O)([O-])C(F)(F)F.c1ccc(Cn2cc[n+](Cc3ccccc3)c2)cc1,"1,3-dibenzylimidazolium trifluoromethanesulfonate",,,,,,
BZoIZ,256.1,Nishida et al. (2003),Crystal,AAonnS,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-propyl-3-methylimidazolium tetrafluoroborate,,,,,,
tMcVG,287.1,Oleinikova and Bonetti (1996),Crystal,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,,,,
lHXYx,333.4,Sakal et al. (2014),Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
VVyRb,285.62,Wachter et al. (2008),Crystal,ABohEE,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=C([O-])C(F)(F)F,methyltrioctylammonium trifluoroacetate,,,,,,
CTyjj,288.1,Morita et al. (2014),Crystal,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,
hztRd,303.1,Guo et al. (2011),Crystal 1,ABdqxL,CCC[S+]1CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-propylhexahydrothiopyrylium bis((trifluoromethyl)sulfonyl)amide,,,,,,
leTct,303.1,Castillo et al. (2021),Crystal,ABXrps,CC[n+]1ccsc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-ethylthiazolium bis((trifluoromethyl)sulfonyl)amide,,,,,,
hKMdq,333.1,Sakizadeh et al. (2007),Crystal,ABYMBK,CCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-dodecyl-3-methylimidazolium hexafluorophosphate,,,,,,
LefeX,335.1,Wilkes et al. (1982),Crystal,AAeuTF,CCCn1cc[n+](C)c1.[Cl-],1-methyl-3-propylimidazolium chloride,,,,,,
